"SuperClass","Class","Order","Family","Genus.species","SpecCode","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","MBl","RMn","RMx","TLl","FHa","EHl","LHa","WLa","PCr","REp","EGt"
"Osteichthyes","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser_sinensis",8762,6.78526315789474,0.391578947368421,0.135458167330677,0.286315789473684,2.62374116749433,0.528421052631579,0.225263157894737,0.141737677222807,5.08823529411765,346,5.32724181434293,279.228414881974,3.5,"3","1","3","3","1","2","2"
"Osteichthyes","Chondrostei","Acipenseriformes","Polyodontidae","Psephurus_gladius",4513,8.11501597444089,0.182108626198083,0.0698924731182795,0.220447284345048,6.10829353055946,0.594249201277955,0.162939297124601,0.0792933324742071,3.83333333333333,300,3.4407452756096,90.338777007978,4.15000009536743,"3","1","3","3","1","2","2"
"Osteichthyes","Teleostei","Anguilliformes","Anguillidae","Anguilla_japonica",295,12.8,0.268,0.378151260504202,0.904,0.818627151459331,0.476,0.628,0.0541310980975815,0,150,5.09595217218963,237.298413787098,3.54999995231628,"3","1","3","3","1","5","1"
"Osteichthyes","Teleostei","Clupeiformes","Dorosomatidae","Tenualosa_reevesii",1598,2.98611111111111,0.365277777777778,0.424083769633508,0.616666666666667,0.337889063879843,0.530555555555556,0.284722222222222,0.174899182888971,1.58558558558559,61.5999984741211,7.4420152112235,1360.44273200831,3.19000005722046,"2","1","1","2","1","4","1"
"Osteichthyes","Teleostei","Clupeiformes","Engraulidae","Coilia_nasus",630,6.5479797979798,0.148989898989899,0.462121212121212,0.623737373737374,1.74660236880371,0.333333333333333,0.414141414141414,0.354352152761364,2.04166666666667,41,9.1248098195067,2274.65155835039,3,"3","1","3","1","1","2","1"
"Osteichthyes","Teleostei","Clupeiformes","Engraulidae","Coilia_brachygnathus",615,5.30909090909091,0.329292929292929,0.338983050847458,0.591919191919192,0.963123569164432,0.476767676767677,0.397979797979798,0.350254942407574,1.38666666666667,35.4000015258789,7.95383244510214,783.590208244638,3.45000004768372,"2","1","1","1","1","2","1"
"Osteichthyes","Teleostei","Cypriniformes","Catostomidae","Myxocyprinus_asiaticus",12304,2.80428954423593,0.269436997319035,0.479623824451411,0.197050938337802,0.415120886702116,0.427613941018767,0.105898123324397,0.194000236089337,3.21495327102804,68,8.42397141588778,1118.53280701784,3.04999995231628,"2","0","1","2","1","2","3"
"Osteichthyes","Teleostei","Cypriniformes","Balitoridae","Lepturichthys_fimbriatus",58518,8.77972027972028,0.391608391608392,0.319796954314721,0.611888111888112,1.58769684199421,0.688811188811189,0.265734265734266,0.221572514084313,2.57142857142857,16.1000003814697,11.0039160892873,1973.72689260655,3.27999997138977,"2","0","1","3","1","2","1"
"Osteichthyes","Teleostei","Cypriniformes","Balitoridae","Lepturichthys_dolichopterus",58520,7.03883495145631,0.368932038834951,0.25,0.470873786407767,1.50711137215891,0.446601941747573,0.490291262135922,0.114690297964068,4.875,15.5549126998258,11.0039160892873,1973.72689260655,3.27999997138977,"2","0","1","3","1","3","1"
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Leptobotia_hengyangensis",60444,4.02669039145907,0.403914590747331,0.150375939849624,0.519572953736655,0.545540407846534,0.473309608540925,0.354092526690391,0.161062557478807,2.23648648648649,10.2799997329712,6.30668696693383,496.8665784015,3.24000000953674,"2","0","1","3","1","3","1"
