"Basin","Species","Delta_FRic","Delta_FEve","Delta_FDiv","Delta_FRed"
"1","Psephurus_gladius",0.00014146449447162,-0.000776543369602645,-0.00227395149016718,-0.0449895288252149
"1","Anguilla_japonica",0.00013844711933881,-0.00057213660587857,0.00119902007302108,-0.0448754156671853
"1","Tenualosa_reevesii",2.60148582874715e-05,0.00110337384135417,-0.00270259934978812,-0.00771832277329132
"1","Coilia_nasus",6.1949750410371e-05,0.000238880415529108,0.00287215198953272,-0.011972727639554
"1","Coilia_brachygnathus",8.56860082204277e-06,-1.97381808956787e-05,-0.00192316351939237,0.00160339532580522
"1","Myxocyprinus_asiaticus",3.46501709589631e-06,-0.00084998236010303,-0.0020077367323037,0.155366576106999
"1","Lepturichthys_fimbriatus",2.75332708782511e-06,-0.000428504725582202,-0.00120544990914628,0.0578663067693839
"1","Leptobotia_taeniops",5.32001368916493e-05,0.000547771895009763,-0.000245701070545223,-0.00106340681381312
"1","Parabotia_fasciatus",2.47067607098044e-05,0.000894936841052352,-0.000779758720117929,-0.0178174804408311
"1","Cobitis_sinensis",1.83443407444123e-05,-0.000352442465834768,-0.0004558127013643,0.0854851762116038
"1","Cobitis_macrostigma",3.48039535873929e-05,0.000754683623690189,-0.000253764833577419,0.0192477689696009
"1","Misgurnus_anguillicaudatus",1.58865089766527e-06,-0.000924278995683536,-0.0017514625399544,0.144243136226804
"1","Misgurnus_dabryanus",3.9210862015998e-05,0.00143308811963899,-0.000965602023018985,-0.0231686656410508
"1","Spinibarbus_caldwelli",1.57974386599499e-06,-0.000786326414787819,-0.00329810394498931,0.129085941694775
"1","Acrossocheilus_kreyenbergii",1.05505789672214e-05,-0.000474647653556648,-0.000805527362436331,0.107021116246637
"1","Cyprinus_rubrofuscus",2.76594235308873e-06,0.000147288158771353,-0.00297505901239137,0.0277302239175343
"1","Carassius_auratus",3.42624787723023e-05,1.8836242554221e-05,-0.000548900285129328,0.0159435093488485
"1","Zacco_aff.Acanthogenys",1.24776970683574e-05,-0.000688488386834496,-0.000539563783136132,0.107588540428383
"1","Opsariichthys_bidens",7.45929364916391e-06,-0.000484183951417139,-0.00168316821422765,0.142183872902878
"1","Mylopharyngodon_piceus",3.56164930071104e-05,0.000474384896207602,0.00116260203257046,-0.00318757662684543
"1","Ctenopharyngodon_idella",3.92486714565576e-05,0.000143652312123155,0.00168441789512752,0.00758325937835647
"1","Squaliobarbus_curriculus",4.61606007431592e-06,-0.000215470959173902,0.000494163299698425,0.0240252834823798
"1","Ochetobius_elongatus",5.00298880111924e-06,-0.000218166061840053,0.000296127155262504,0.0145206540660316
"1","Luciobrama_macrocephalus",7.51011826253148e-06,-0.000277596752745024,0.00116757002250989,0.0158103595392296
"1","Elopichthys_bambusa",9.30658293339539e-05,0.000248023196864677,-0.00018925227136668,-0.0343800178042226
"1","Pseudolaubuca_sinensis",1.10042195434736e-05,-0.000753808536478995,-0.00209262745191396,0.111349506353113
"1","Pseudolaubuca_engraulis",7.56199717760696e-06,9.46309964546255e-05,-0.00316249325453999,0.0131081955409105
"1","Toxabramis_swinhonis",4.10597073041295e-05,0.00130550608010827,-0.000680156335347126,0.0067650290035246
"1","Hemiculter_leucisculus",2.95189209017918e-05,0.000389190133890605,-0.00106974416126959,-0.00245070271580605
"1","Hemiculter_bleekeri",0.000126561467212292,-0.000141516179276879,-0.00019259036659236,-0.0428481194097126
"1","Culter_alburnus",4.04219274813059e-06,-0.00078350351223333,-0.00306414114105724,0.0996347273335711
"1","Chanodichthys_erythropterus",3.89260914891681e-05,0.00116648588683571,-0.00263259539685223,-0.00345765584219393
"1","Chanodichthys_mongolicus",5.5230867402011e-07,-0.000918766806096205,-0.00319321387295246,0.117287476403807
"1","Chanodichthys_oxycephalus",1.31758629303823e-06,-0.00075392476469649,-0.00278525113082495,0.100253206168962
"1","Chanodichthys_dabryi",7.29649492336994e-08,-0.000841330232187742,-0.00287176712337456,0.112168565255898
"1","Parabramis_pekinensis",0.000117997992477863,0.000427125844087606,0.00433769641542925,-0.0429846014177677
"1","Megalobrama_amblycephala",5.62778980636605e-08,-0.00108933845862991,-0.00145623096997272,0.162000101028544
"1","Megalobrama_terminalis",1.09661919715262e-06,-0.00100963512623597,-0.00154068505577876,0.162289407675409
"1","Xenocypris_macrolepis",8.22146289590527e-05,0.000602269018959656,0.00131912434892278,-0.0337614939339019
"1","Xenocypris_davidi",3.1180682169616e-05,2.71233627385792e-06,0.00121096104161722,0.0137398858118072
"1","Plagiognathops_microlepis",4.28332972634548e-05,2.20791527566488e-06,0.000246333268700494,7.51845341149249e-05
"1","Distoechodon_tumirostris",3.53921812299445e-06,-0.000408366820753903,0.00148541298787519,0.0347771749899008
"1","Pseudobrama_simoni",3.53442650350816e-05,-4.21179370982405e-05,0.00127379313299159,0.00523718534056972
"1","Hypophthalmichthys_nobilis",1.58734938038447e-05,0.000197008708276325,0.00108722537761607,0.01576483698123
"1","Hypophthalmichthys_molitrix",9.43035068285788e-05,0.000549863795866523,0.00242094967742257,-0.033585908880962
"1","Acheilognathus_macropterus",5.74756211590787e-05,0.000105936149294938,-0.000707422891620291,-0.0242125370957869
"1","Acheilognathus_tonkinensis",1.10062917916581e-05,-0.000249897141635813,0.0020287431711915,0.0152781212678397
"1","Acheilognathus_hypselonotus",5.32202413345622e-05,-4.49131581526929e-05,-0.0010401832879422,-0.00179263984092959
"1","Acanthorhodeus_chankaensis",1.88544046396533e-05,0.000144383604868514,0.00237128282460008,-0.00508771866435964
"1","Acheilognathus_macromandibularis",2.95142674321844e-06,-0.000431576620406493,0.00195932843669733,0.0178661109218874
"1","Rhodeus_sinensis",1.14159788932598e-05,0.000368413923493849,0.00203073833528256,-0.0139891267046082
"1","Rhodeus_ocellatus",6.13149153612834e-06,0.000328372957399237,0.00204797318244354,-0.0114499792362031
"1","Rhodeus_lighti",1.28871660385713e-05,-0.000190659090017808,0.00163613658244832,0.0148113579360123
"1","Hemibarbus_labeo",7.11253745295513e-07,-0.00105533161194954,-0.000868351811592172,0.168552456969864
