"IUCN_Group","ori","emmean","SE","df","asymp.LCL","asymp.UCL","ori_level","Endpoint"
"Group1",0.125,-1.47990629861255,0.272236703709823,Inf,-1.71163460093008,-1.24817799629503,"Low","FRic contribution"
"Group2",0.125,-1.00201675353357,0.118502715880361,Inf,-1.10288644816609,-0.90114705890106,"Low","FRic contribution"
"Group3",0.125,-0.907514132751928,0.34251332229422,Inf,-1.19906200126042,-0.615966264243441,"Low","FRic contribution"
"Group1",0.525,0.167461666663511,0.133979003262628,Inf,0.053418532327974,0.281504800999048,"Middle","FRic contribution"
"Group2",0.525,0.253553747328239,0.0850213214937371,Inf,0.181183467266604,0.325924027389875,"Middle","FRic contribution"
"Group3",0.525,0.179608274361618,0.179697081360198,Inf,0.0266498413966126,0.332566707326624,"Middle","FRic contribution"
"Group2",0.8,0.5471084680512,0.261525008236956,Inf,0.324497977450625,0.769718958651775,"High","FRic contribution"
"Group4",0.8,0.959728593823996,0.377121428201469,Inf,0.638722252159516,1.28073493548848,"High","FRic contribution"
"Group1",0.125,-1.3468436026326,0.139876465626282,Inf,-1.62099643754487,-1.07269076772033,"Low","FEve contribution"
"Group2",0.125,-1.09045588481216,0.0617850653657908,Inf,-1.21155238771156,-0.969359381912752,"Low","FEve contribution"
"Group3",0.125,-0.776275618732619,0.21655297389824,Inf,-1.20071164831821,-0.351839589147026,"Low","FEve contribution"
"Group1",0.525,-0.103168036725619,0.0901605249561578,Inf,-0.279879418466913,0.0735433450156747,"Middle","FEve contribution"
"Group2",0.525,0.458574458301091,0.0468052670358776,Inf,0.366837820623991,0.550311095978191,"Middle","FEve contribution"
"Group3",0.525,-0.0973685880096456,0.142532779168111,Inf,-0.376727701795544,0.181990525776253,"Middle","FEve contribution"
"Group2",0.8,0.743073755458941,0.215333654878675,Inf,0.321027547237361,1.16511996368052,"High","FEve contribution"
"Group4",0.8,-0.0271948487329534,0.244358896034697,Inf,-0.506129484262926,0.451739786797019,"High","FEve contribution"
"Group1",0.125,-0.817656538921182,0.115216371873817,Inf,-1.04347647822324,-0.591836599619128,"Low","FDiv contribution"
"Group2",0.125,-1.04173083671107,0.0611156304809123,Inf,-1.16151527134612,-0.921946402076023,"Low","FDiv contribution"
"Group3",0.125,-1.01793474174101,0.182775747510131,Inf,-1.37616862410825,-0.659700859373765,"Low","FDiv contribution"
"Group1",0.525,0.0943390375543,0.0899871609460211,Inf,-0.0820325569709106,0.270710632079511,"Middle","FDiv contribution"
"Group2",0.525,0.354847198750439,0.0542010777548676,Inf,0.248615038427643,0.461079359073234,"Middle","FDiv contribution"
"Group3",0.525,0.804873650311892,0.132646647742029,Inf,0.544890998067544,1.06485630255624,"Middle","FDiv contribution"
"Group2",0.8,0.0242164936577841,0.210434242919542,Inf,-0.388227043578471,0.436660030894039,"High","FDiv contribution"
"Group4",0.8,0.716271568740527,0.244056985281855,Inf,0.237928667412668,1.19461447006839,"High","FDiv contribution"
"Group1",0.125,2.0273342451684,0.176840046435634,Inf,1.68073412313016,2.37393436720663,"Low","ReFRed contribution"
"Group2",0.125,1.44102288003082,0.0867197694879742,Inf,1.27105525508678,1.61099050497487,"Low","ReFRed contribution"
"Group3",0.125,0.635724918336244,0.276784405558195,Inf,0.0932374519598546,1.17821238471263,"Low","ReFRed contribution"
"Group1",0.525,0.304388225724172,0.108464888241176,Inf,0.0918009511843046,0.516975500264039,"Middle","ReFRed contribution"
"Group2",0.525,-0.0557180181365254,0.0730280198390447,Inf,-0.198850306883329,0.0874142706102787,"Middle","ReFRed contribution"
"Group3",0.525,-0.352528280042283,0.167680332959424,Inf,-0.681175693558439,-0.0238808665261267,"Middle","ReFRed contribution"
"Group2",0.8,-2.46275310975256,0.603869861307976,Inf,-3.64631628926539,-1.27918993023973,"High","ReFRed contribution"
"Group4",0.8,-0.509081192852973,0.246293592018456,Inf,-0.991807762832149,-0.0263546228737974,"High","ReFRed contribution"
