Genus.species,SpecCode,SEI,IUCN_cn,IUCN
Rhodeus_nigrodorsalis,70781,0.930077221,DD,VU
Rhodeus_flaviventris,70790,0.930077221,DD,VU
Rhodeus_albomarginatus,67829,0.930077221,DD,VU
Hemibarbus_labeo,17301,0,LC,LC
Hemibarbus_maculatus,4752,0,LC,LC
Paracanthobrama_guichenoti,54127,0.196646983,LC,LC
Belligobio_nummifer,55420,0.909214305,LC,LC
Pseudorasbora_parva,4691,0,LC,LC
Pseudorasbora_elongata,55987,0.243279577,VU,LC
Sarcocheilichthys_sinensis,47349,0.060042341,LC,LC
Sarcocheilichthys_parvus,54968,0.12996512,LC,LC
Sarcocheilichthys_nigripinnis,12225,0.090785695,LC,LC
Sarcoheilichthys_vittatus,NA,0.433181314,NE,NE
Sarcoheilichthys_kiangsiensis,NA,0.351949298,NE,NE
Gnathopogon_taeniellus,55372,0.930077221,LC,DD
Gnathopogon_nicholsi,55373,0.525632855,DD,LC
Gnathopogon_aff.Imberbis,NA,0.43484716,LC,NE
Platysmacheilus_longibarbatus,55400,0.261163603,DD,NE
Microphysogobio_chenhsienensis,55905,0.261163603,DD,LC
Squalidus_argentatus,54974,0,LC,DD
Squalidus_wolterstorffi,54972,0.038096149,LC,LC
Coreius_heterodon,55907,0.277878999,DD,NE
Rhinogobio_typus,54978,0.035938509,LC,NE
Rhinogobio_cylindricus,55915,0.313202356,LC,NE
Abbottina_rivularis,22903,0,LC,LC
Microphysogobio_microstomus,55902,0.776349977,DD,NE
Microphysogobio_tungtingensis,47816,0.444400839,DD,NT
Microphysogobio_nudiventris,66916,0.525632855,DD,NE
Microphysogobio_zhangi,68760,0.282026519,DD,LC
Microphysogobio_bicolor,NA,0.37447806,NE,LC
Microphysogobio_kachekensis,54984,0.978053808,DD,LC
Pseudogobio_vaillanti,54780,0.225225093,LC,LC
Saurogobio_dumerili,55397,0.196646983,LC,NE
Saurogobio_dabryi,47352,0,LC,LC
Saurogobio_gymnocheilus,55855,0.353615143,LC,NE
Saurogobio_punctatus,68767,0.303648677,DD,NE
Saurogobio_xiangjiangensis,55854,0.342395619,LC,NE
Saurogobio_gracilicaudatus,55853,0.353615143,LC,NE
